cluster,gene
DLK1 Fib,H1F0
DLK1 Fib,ZFAND5
DLK1 Fib,SOCS3
DLK1 Fib,SLC2A3
DLK1 Fib,HSPA1B
DLK1 Fib,HSPA1A
PTGDS Fib,PTGDS
PTGDS Fib,GPC3
PTGDS Fib,C3
PTGDS Fib,CFD
PTGDS Fib,C7
PTGDS Fib,SELENOP
PTGDS Fib,PLTP
PTGDS Fib,GAS6
PTGDS Fib,GPX3
PTGDS Fib,FTL
PTGDS Fib,NTRK2
PTGDS Fib,FST
PTGDS Fib,EDNRB
PTGDS Fib,FMO2
PTGDS Fib,ADM
PTGDS Fib,SVEP1
PTGDS Fib,FGF7
PTGDS Fib,SFRP1
PTGDS Fib,SRPX
PTGDS Fib,C1R
PTGDS Fib,FBLN1
PTGDS Fib,PODN
PTGDS Fib,RPS28
PTGDS Fib,C1S
PTGDS Fib,IGSF10
PTGDS Fib,CXCL12
PTGDS Fib,COL6A6
PTGDS Fib,WISP2
PTGDS Fib,PLPP3
PTGDS Fib,HSPB6
PTGDS Fib,INMT
PTGDS Fib,RARRES2
PTGDS Fib,SLIT3
PTGDS Fib,DIO3OS
PTGDS Fib,PTN
PTGDS Fib,ALDH1A1
PTGDS Fib,FBLN5
PTGDS Fib,COL4A4
PTGDS Fib,LSAMP
PTGDS Fib,PDGFD
PTGDS Fib,STEAP4
PTGDS Fib,OLFML3
PTGDS Fib,PDGFRA
PTGDS Fib,CP
PTGDS Fib,PQLC2L
PTGDS Fib,RPS23
PTGDS Fib,MGST1
PTGDS Fib,GFRA1
PTGDS Fib,VEGFD
PTGDS Fib,CEBPD
PTGDS Fib,ARID5B
PTGDS Fib,RPS9
PTGDS Fib,VGLL3
PTGDS Fib,RPS18
PTGDS Fib,NEXN
PTGDS Fib,APOD
PTGDS Fib,IGF2.1
PTGDS Fib,ADH1B
PTGDS Fib,CHRDL2
PTGDS Fib,CES1
PTGDS Fib,TC2N
PTGDS Fib,RPS12
PTGDS Fib,ANGPT1
PTGDS Fib,MAP1LC3A
PTGDS Fib,DEPP1
PTGDS Fib,ABCC9
PTGDS Fib,RPS27
PTGDS Fib,IFITM3
PTGDS Fib,PLIN2
PTGDS Fib,SELENBP1
PTGDS Fib,ABCA8
PTGDS Fib,FILIP1
PTGDS Fib,CEBPB
PTGDS Fib,SCPEP1
PTGDS Fib,SLC40A1
PTGDS Fib,TGFBR2
PTGDS Fib,NUPR1
PTGDS Fib,ZFP36
PTGDS Fib,TMEM176B
PTGDS Fib,SOD2
PTGDS Fib,QSOX1
PTGDS Fib,RPS29
PTGDS Fib,IGFBP4
PTGDS Fib,CYB5A
PTGDS Fib,PDK4
PTGDS Fib,MAFB
PTGDS Fib,TMEM176A
PTGDS Fib,CTSF
PTGDS Fib,EPAS1
PTGDS Fib,TNFSF13B
PTGDS Fib,FXYD1
PTGDS Fib,SPON1
PTGDS Fib,SRGN
PTGDS Fib,ADAMTS1
PTGDS Fib,SMOC2
PTGDS Fib,CDKN1C
PTGDS Fib,ZFAND5
PTGDS Fib,ITM2A
PTGDS Fib,CD302
PTGDS Fib,CPE
PTGDS Fib,EGR1
PTGDS Fib,ABCA9
PTGDS Fib,GPNMB
PTGDS Fib,C2orf40
PTGDS Fib,SOCS3
PTGDS Fib,FOS
PTGDS Fib,XIST
PTGDS Fib,TSC22D1
PTGDS Fib,BTG2
APOD Fib,APOD
APOD Fib,IGFBP5
APOD Fib,SHISA3
APOD Fib,VIT
APOD Fib,ABCA8
APOD Fib,MAMDC2
