cluster,gene
CXCL10+CCL19+ C11 Marginal,CTSK
CXCL10+CCL19+ C11 Marginal,TMEM108
CXCL10+CCL19+ C11 Marginal,STING1
CXCL10+CCL19+ C11 Marginal,IGDCC4
CD34+MFAP5+ C9 Marginal,PCOLCE2
CD34+MFAP5+ C9 Marginal,MFAP5
CD34+MFAP5+ C9 Marginal,C1QTNF3
CD34+MFAP5+ C9 Marginal,CYP4B1
CD34+MFAP5+ C9 Marginal,FBLN2
CD34+MFAP5+ C9 Marginal,CLEC3B
CD34+MFAP5+ C9 Marginal,AIF1L
CD34+MFAP5+ C9 Marginal,IGFBP6
CD34+MFAP5+ C9 Marginal,WNT10B
CD34+MFAP5+ C9 Marginal,HMCN2
CD34+MFAP5+ C9 Marginal,CD70
CD34+MFAP5+ C9 Marginal,NPR1
CD34+MFAP5+ C9 Marginal,CCN3
CD34+MFAP5+ C9 Marginal,FBN1
CD34+MFAP5+ C9 Marginal,PI16
CD34+MFAP5+ C9 Marginal,MATN4
CD34+MFAP5+ C9 Marginal,SEMA3C
CD34+MFAP5+ C9 Marginal,ACKR3
CD34+MFAP5+ C9 Marginal,DBN1
CD34+MFAP5+ C9 Marginal,ADGRD1
CD34+MFAP5+ C9 Marginal,EMILIN2
CD34+MFAP5+ C9 Marginal,CD34
CD34+MFAP5+ C9 Marginal,EFHD1
CD34+MFAP5+ C9 Marginal,NHSL1
CD34+MFAP5+ C9 Marginal,ACKR4
CD34+MFAP5+ C9 Marginal,CD55
CD34+MFAP5+ C9 Marginal,DPP4
CD34+MFAP5+ C9 Marginal,CD248
CD34+MFAP5+ C9 Marginal,FABP3
CD34+MFAP5+ C9 Marginal,AHNAK2
CD34+MFAP5+ C9 Marginal,ABLIM1
CD34+MFAP5+ C9 Marginal,C17orf58
CD34+MFAP5+ C9 Marginal,SFRP4
CD34+MFAP5+ C9 Marginal,LIMS2
CD34+MFAP5+ C9 Marginal,IL33
CD34+MFAP5+ C9 Marginal,CILP
CD34+MFAP5+ C9 Marginal,HTRA3
CD34+MFAP5+ C9 Marginal,PALM
CD34+MFAP5+ C9 Marginal,C3
CD34+MFAP5+ C9 Marginal,HSD3B7
CD34+MFAP5+ C9 Marginal,FLNC
CD34+MFAP5+ C9 Marginal,KCNAB1
CD34+MFAP5+ C9 Marginal,ZNF385A
CD34+MFAP5+ C9 Marginal,IL20RB
CD34+MFAP5+ C9 Marginal,VIT
CD34+MFAP5+ C9 Marginal,DIPK1C
CD34+MFAP5+ C9 Marginal,PLA2G2A
CD34+MFAP5+ C9 Marginal,ADAMTS5
CD34+MFAP5+ C9 Marginal,LVRN
CD34+MFAP5+ C9 Marginal,OGN
CD34+MFAP5+ C9 Marginal,TPPP3
CD34+MFAP5+ C9 Marginal,SPRR2F
CD34+MFAP5+ C9 Marginal,ADAM33
CD34+MFAP5+ C9 Marginal,ANGPTL5
CD34+MFAP5+ C9 Marginal,XPNPEP2
CD34+MFAP5+ C9 Marginal,FNDC1
CD34+MFAP5+ C9 Marginal,METRNL
CD34+MFAP5+ C9 Marginal,ITGA11
CD34+MFAP5+ C9 Marginal,WSCD2
CD34+MFAP5+ C9 Marginal,FNDC5
CD34+MFAP5+ C9 Marginal,PXN
CD34+MFAP5+ C9 Marginal,NTN1
CD34+MFAP5+ C9 Marginal,SCRN1
CD34+MFAP5+ C9 Marginal,CRABP2
CD34+MFAP5+ C9 Marginal,FSTL1
CD34+MFAP5+ C9 Marginal,DKK2
CD34+MFAP5+ C9 Marginal,TMEM255A
CD34+MFAP5+ C9 Marginal,SCARA5
CD34+MFAP5+ C9 Marginal,MEDAG
CD34+MFAP5+ C9 Marginal,CLDN11
CD34+MFAP5+ C9 Marginal,ITM2A
CD34+MFAP5+ C9 Marginal,GALNT15
CD34+MFAP5+ C9 Marginal,SEMA3B
CD34+MFAP5+ C9 Marginal,AFAP1L2
CD34+MFAP5+ C9 Marginal,CFD
CD34+MFAP5+ C9 Marginal,TRIO
CD34+MFAP5+ C9 Marginal,TNXB
CD34+MFAP5+ C9 Marginal,AOX1
CD34+MFAP5+ C9 Marginal,KCNJ12
CD34+MFAP5+ C9 Marginal,DCLK1
CD34+MFAP5+ C9 Marginal,SGCG
CD34+MFAP5+ C9 Marginal,TMEM233
CD34+MFAP5+ C9 Marginal,SH3BGRL3
CD34+MFAP5+ C9 Marginal,PTGIS
CD34+MFAP5+ C9 Marginal,C1QTNF2
CD34+MFAP5+ C9 Marginal,CLIC3
CD34+MFAP5+ C9 Marginal,SLN
CD34+MFAP5+ C9 Marginal,GSN
CD34+MFAP5+ C9 Marginal,KRT222
CD34+MFAP5+ C9 Marginal,GUCY1A2
CD34+MFAP5+ C9 Marginal,NT5E
CD34+MFAP5+ C9 Marginal,PPP1R14B
CD34+MFAP5+ C9 Marginal,LOXL1
CD34+MFAP5+ C9 Marginal,STK32B
CD34+MFAP5+ C9 Marginal,DACT2
CD34+MFAP5+ C9 Marginal,TMEM71
CD34+MFAP5+ C9 Marginal,UAP1
CD34+MFAP5+ C9 Marginal,IL18
CD34+MFAP5+ C9 Marginal,ADH1B
CD34+MFAP5+ C9 Marginal,LGR4
CD34+MFAP5+ C9 Marginal,FAM180B
CD34+MFAP5+ C9 Marginal,PROCR
CD34+MFAP5+ C9 Marginal,PXDNL
CD34+MFAP5+ C9 Marginal,APBB1IP
