cluster,gene
c05,COL6A2
c05,NPC2
c05,SRPX
c05,OAF
c05,PXN
c05,ADAM33
c05,CES1
c05,NPDC1
c05,IL33
c05,CYB5A
c05,IGF1
c05,PLBD1
c05,OSR1
c05,PHGDH
c05,DUSP1
c05,UCHL1
c05,TSPO
c05,AKR1C2
c05,EGR1
c05,VGLL3
c05,LOX
c05,TRIOBP
c05,NPR1
c05,DPYSL2
c05,CAPN2
c05,C1QTNF2
c05,PCSK5
c05,GLUL
c05,VIMP
c05,TUBB2A
c05,SSPN
c05,ATP6V0C
c05,MRC2
c05,THY1
c05,TMSB4X
c05,NFIX
c05,TAGLN2
c05,RTN3
c05,CDC42EP2
c05,CTSK
c05,IGFBP4
c05,NFKBIZ
c05,CAPG
c05,45184
c05,CERCAM
c05,LUM
c05,RECK
c05,ITGB1BP1
c05,ECM2
c05,ADI1
c05,SH3BP5
c05,GSTP1
c05,ASPN
c05,QSOX1
c05,VASN
c05,IER3
c05,SEPW1
c05,C12orf75
c05,CAST
c05,CALHM2
c05,NUCB2
c05,PIK3R1
c05,KLF3
c05,C16orf45
c05,CUTC
c05,YWHAH
c05,SH3D19
c05,BLVRB
c05,TUBB6
c05,LY6E
c05,MAFF
c05,MYDGF
c05,OLFML1
c05,FYN
c05,FEZ1
c05,LRRC17
c05,FGFR1
c05,TUBB
c05,METRNL
c05,ATRAID
c05,FTL
c05,LAPTM4A
c05,PRDX4
c05,MAP1A
c05,NUPR1
c05,MESDC2
c05,LAMP1
c05,C7orf73
c05,HEXA
c05,CTSA
c05,SPRYD3
c05,APBB1IP
c05,GNB2
c05,SLC29A1
c05,LAMB2
c05,SVBP
c05,TRAM1
c05,SDF4
c05,TUBA1A
c05,DAB2
c05,SNX21
c05,ZYX
c05,BTG2
c05,GSTM5
c05,ARL2
c05,ITGBL1
c05,FAM195B
c05,FAM114A1
c05,SESTD1
c05,DNAJB1
c05,CD47
c05,SOCS1
